Player Name,Instant Price,Rating,Club,Position,Nation,League,Skills,Weak Foot,Preferred Foot,Height,Weight,Revision,Defensive Workrate,Attacking Workrate,Added On,Origin,Games PS4,Games Xbox 1,Total Games,Goals Avr. PS4,Goals Avr. Xbox 1,Assists Avr. PS4,Assists Avr. Xbox 1,Yellow Avr. PS4,Yellow Avr. Xbox 1,Red Avr. PS4,Red Avr. Xbox 1,Date of Birth
Boateng,135000,90,FC Bayern,CB,Germany,Bundesliga,2,4,Right ,192,90,Normal,Med,Med,2016-09-21,N\A,3690306,2524565,6214871,0.02,0.02,0.01,0.01,0.05,0.05,0.01,0.01,03-09-1988
Lewandowski,89500,90,FC Bayern,ST,Poland,Bundesliga,3,4,Right ,185,79,Normal,Med,Med,2016-09-21,N\A,2477406,1393883,3871289,0.66,0.64,0.29,0.29,0.01,0.01,0,0,21-08-1988
Schmeichel,300000,90,Legends,GK,Denmark,Legends,1,3,Right ,193,92,Legend,Med,Med,2016-09-21,N\A,0,107933,107933,0,0,0,0,0,0,0,0,18-11-1963
Butragueño,520000,90,Legends,ST,Spain,Legends,3,4,Right ,170,68,Legend,Low,Med,2016-09-21,N\A,0,168818,168818,0,0.73,0,0.31,0,0.01,0,0,22-07-1963
De Gea,90000,90,Manchester Utd,GK,Spain,Premier League,1,3,Right ,193,82,Normal,Med,Med,2016-09-21,N\A,5103715,3109318,8213033,0,0,0,0,0,0,0,0,07-11-1990
Gullit,2611000,90,Legends,CM,Netherlands,Legends,4,4,Right ,190,88,Legend,Med,High,2016-09-21,N\A,0,125880,125880,0,0.37,0,0.25,0,0.02,0,0,01-09-1962
Best,1415000,90,Legends,RW,Northern Ireland,Legends,4,4,Right ,175,65,Legend,Med,Med,2016-09-21,N\A,0,186039,186039,0,0.54,0,0.35,0,0.01,0,0,22-05-1946
Shearer,250000,89,Legends,ST,England,Legends,3,3,Right ,182,78,Legend,Med,High,2016-09-21,N\A,0,111038,111038,0,0.74,0,0.26,0,0.02,0,0,13-08-1970
Giggs,297000,89,Legends,LM,Wales,Legends,3,2,Left ,179,71,Legend,Med,Med,2016-09-21,N\A,0,109312,109312,0,0.32,0,0.25,0,0.02,0,0,29-11-1973
Scholes,355000,89,Legends,CM,England,Legends,3,3,Right ,171,71,Legend,Med,High,2016-09-21,N\A,0,132501,132501,0,0.22,0,0.21,0,0.03,0,0,16-11-1974
Desailly,685000,89,Legends,CB,France,Legends,2,3,Right ,183,85,Legend,High,Low,2016-09-21,N\A,0,164863,164863,0,0.02,0,0.01,0,0.04,0,0.01,07-09-1968
Cannavaro,280000,89,Legends,CB,Italy,Legends,2,3,Right ,176,75,Legend,High,Low,2016-09-21,N\A,0,120559,120559,0,0.02,0,0.01,0,0.05,0,0.01,13-09-1973
Nedved,255000,89,Legends,LM,Czech Republic,Legends,3,5,Right ,177,70,Legend,Med,High,2016-09-21,N\A,0,133083,133083,0,0.34,0,0.23,0,0.01,0,0,30-08-1972
van der Sar,208000,89,Legends,GK,Netherlands,Legends,1,3,Right ,197,83,Legend,Med,Med,2016-09-21,N\A,0,142866,142866,0,0,0,0,0,0,0,0,29-10-1970
Agüero,200000,89,Manchester City,ST,Argentina,Premier League,4,4,Right ,172,74,Normal,Med,High,2016-09-21,N\A,4248947,2367847,6616794,0.66,0.65,0.32,0.31,0.01,0.01,0,0,02-06-1988
Sergio Ramos,104000,89,Real Madrid,CB,Spain,LaLiga Santander ,3,3,Right ,183,75,Normal,Med,High,2016-09-21,N\A,3488582,2205157,5693739,0.02,0.02,0.01,0.01,0.06,0.06,0.01,0.01,30-03-1986
Fernando Hierro,261000,89,Legends,CB,Spain,Legends,2,3,Right ,187,84,Legend,High,Med,2016-09-21,N\A,0,153254,153254,0,0.02,0,0.01,0,0.05,0,0.01,23-03-1968
Weah,1195000,89,Legends,ST,Liberia,Legends,4,3,Right ,184,76,Legend,Low,High,2016-09-21,N\A,0,215681,215681,0,0.73,0,0.32,0,0.01,0,0,01-10-1966
Thiago Silva,34250,89,PSG,CB,Brazil,Ligue 1,3,3,Right ,183,79,Normal,High,High,2016-09-21,N\A,2343145,1382152,3725297,0.02,0.02,0.01,0.01,0.06,0.06,0.01,0.01,22-09-1984
Hagi,375000,89,Legends,CAM,Romania,Legends,4,4,Left ,172,68,Legend,Low,Med,2016-09-21,N\A,0,184447,184447,0,0.38,0,0.36,0,0.01,0,0,05-02-1965
Özil,24250,89,Arsenal,CAM,Germany,Premier League,4,2,Left ,183,76,Normal,Low,Med,2016-09-21,N\A,2157519,1396185,3553704,0.24,0.22,0.28,0.26,0.02,0.03,0,0,15-10-1988
Modric,55000,89,Real Madrid,CM,Croatia,LaLiga Santander ,4,4,Right ,174,65,Normal,Med,High,2016-09-21,N\A,4193356,2763835,6957191,0.13,0.12,0.17,0.16,0.03,0.03,0,0,09-09-1985
Moore,263000,89,Legends,CB,England,Legends,2,3,Right ,178,72,Legend,Med,Med,2016-09-21,N\A,0,94335,94335,0,0.02,0,0.02,0,0.06,0,0.01,12-04-1941
Courtois,29750,89,Chelsea,GK,Belgium,Premier League,1,3,Left ,199,91,Normal,Med,Med,2016-09-21,N\A,2940912,1979230,4920142,0,0,0,0,0,0,0,0,11-05-1992
Lineker,252000,89,Legends,ST,England,Legends,3,3,Right ,177,74,Legend,Med,High,2016-09-21,N\A,0,146555,146555,0,0.71,0,0.29,0,0.01,0,0,30-11-1960
Laudrup,233000,89,Legends,CAM,Denmark,Legends,4,3,Right ,183,78,Legend,Med,High,2016-09-21,N\A,0,144990,144990,0,0.29,0,0.3,0,0.02,0,0,15-06-1964
Blanc,840000,89,Legends,CB,France,Legends,2,3,Right ,190,82,Legend,High,Med,2016-09-21,N\A,0,176254,176254,0,0.03,0,0.01,0,0.04,0,0.01,19-11-1965
De Bruyne,460000,89,Manchester City,CM,Belgium,Premier League,4,4,Right ,181,76,IF,Med,High,2016-09-21,TOTW1,31672,53167,84839,0.28,0.3,0.28,0.3,0.02,0.02,0,0,28-06-1991
Seaman,123000,88,Legends,GK,England,Legends,1,3,Right ,193,93,Legend,Med,Med,2016-09-21,N\A,0,96118,96118,0,0,0,0,0,0,0,0,19-09-1963
Iniesta,33750,88,FC Barcelona,CM,Spain,LaLiga Santander ,4,4,Right ,171,68,Normal,Med,High,2016-09-21,N\A,2278468,1434931,3713399,0.13,0.13,0.18,0.18,0.03,0.03,0,0,11-05-1984
Keane,390000,88,Legends,CM,Republic of Ireland,Legends,2,3,Right ,180,76,Legend,High,Med,2016-09-21,N\A,0,210903,210903,0,0.09,0,0.13,0,0.04,0,0,10-08-1971
Lehmann,127000,88,Legends,GK,Germany,Legends,1,3,Right ,190,88,Legend,Med,Med,2016-09-21,N\A,0,161475,161475,0,0,0,0,0,0,0,0,10-11-1969
Rui Costa,409000,88,Legends,CAM,Portugal,Legends,4,4,Right ,180,74,Legend,Low,Med,2016-09-21,N\A,0,236368,236368,0,0.36,0,0.37,0,0.01,0,0,29-03-1972
Roberto Carlos,570000,88,Legends,LB,Brazil,Legends,3,2,Left ,168,70,Legend,High,High,2016-09-21,N\A,0,132924,132924,0,0.06,0,0.06,0,0.02,0,0,10-04-1973
Zanetti,350000,88,Legends,RB,Argentina,Legends,2,4,Right ,178,75,Legend,High,High,2016-09-21,N\A,0,112879,112879,0,0.01,0,0.05,0,0.02,0,0,10-08-1973
Buffon,13500,88,Juventus,GK,Italy,Calcio A,1,2,Right ,192,91,Normal,Med,Med,2016-09-21,N\A,3350992,2245229,5596221,0,0,0,0,0,0,0,0,28-01-1978
Vieira,1795000,88,Legends,CM,France,Legends,3,3,Right ,192,82,Legend,High,Med,2016-09-21,N\A,0,180713,180713,0,0.1,0,0.14,0,0.03,0,0,23-06-1976
Pirès,202000,88,Legends,LM,France,Legends,4,4,Right ,185,74,Legend,Med,Med,2016-09-21,N\A,0,161897,161897,0,0.36,0,0.24,0,0.01,0,0,29-10-1973
Owen,290000,88,Legends,ST,England,Legends,3,4,Right ,173,70,Legend,Med,Med,2016-09-21,N\A,0,167814,167814,0,0.7,0,0.3,0,0.01,0,0,14-12-1979
Litmanen,219000,88,Legends,CAM,Finland,Legends,3,4,Right ,181,76,Legend,Med,High,2016-09-21,N\A,0,175802,175802,0,0.4,0,0.31,0,0.02,0,0,20-02-1971
Kluivert,514000,88,Legends,ST,Netherlands,Legends,4,4,Right ,188,81,Legend,Low,High,2016-09-21,N\A,0,263171,263171,0,0.71,0,0.3,0,0.01,0,0,01-07-1976
Overmars,315000,88,Legends,LM,Netherlands,Legends,3,5,Left ,173,72,Legend,Med,High,2016-09-21,N\A,0,199142,199142,0,0.42,0,0.27,0,0.01,0,0,29-03-1973
Ferdinand,805000,88,Legends,CB,England,Legends,3,3,Right ,193,86,Legend,Med,Med,2016-09-21,N\A,0,169713,169713,0,0.02,0,0.01,0,0.05,0,0.01,07-11-1978
Verón,430000,88,Legends,CM,Argentina,Legends,3,4,Right ,182,79,Legend,Med,Med,2016-09-21,N\A,0,233316,233316,0,0.17,0,0.17,0,0.03,0,0,09-03-1975
Shevchenko,262000,88,Legends,ST,Ukraine,Legends,3,4,Right ,183,72,Legend,High,High,2016-09-21,N\A,0,179696,179696,0,0.73,0,0.27,0,0.01,0,0,29-09-1976
Cech,8800,88,Arsenal,GK,Czech Republic,Premier League,1,3,Left ,196,90,Normal,Med,Med,2016-09-21,N\A,2317802,1608649,3926451,0,0,0,0,0,0,0,0,20-05-1982
Pepe,26500,88,Real Madrid,CB,Portugal,LaLiga Santander ,2,3,Right ,188,81,Normal,High,Med,2016-09-21,N\A,1783407,1177857,2961264,0.02,0.02,0.01,0.01,0.07,0.07,0.01,0.01,26-02-1983
Lahm,15250,88,FC Bayern,RB,Germany,Bundesliga,3,3,Right ,170,66,Normal,High,Med,2016-09-21,N\A,1221735,836604,2058339,0.01,0.01,0.05,0.05,0.04,0.04,0.01,0.01,11-11-1983
Chiellini,24000,88,Juventus,CB,Italy,Calcio A,2,2,Left ,187,86,Normal,High,Low,2016-09-21,N\A,4530044,3070347,7600391,0.02,0.02,0.01,0.01,0.06,0.06,0.01,0.01,14-08-1984
Higuaín,23250,88,Juventus,ST,Argentina,Calcio A,3,4,Right ,184,82,Normal,Med,High,2016-09-21,N\A,3285493,1850310,5135803,0.62,0.59,0.28,0.27,0.01,0.01,0,0,10-12-1987
Lloris,15500,88,Spurs,GK,France,Premier League,1,1,Left ,188,78,Normal,Med,Med,2016-09-21,N\A,5533090,3856210,9389300,0,0,0,0,0,0,0,0,26-12-1986
Godín,34750,88,Atlético Madrid,CB,Uruguay,LaLiga Santander ,2,3,Right ,185,73,Normal,High,Med,2016-09-21,N\A,973247,538217,1511464,0.02,0.02,0.01,0.01,0.08,0.08,0.01,0.01,16-02-1986
Kroos,44500,88,Real Madrid,CM,Germany,LaLiga Santander ,3,5,Right ,182,78,Normal,Med,Med,2016-09-21,N\A,1225745,745606,1971351,0.13,0.12,0.16,0.16,0.04,0.04,0,0,04-01-1990
Hazard,120000,88,Chelsea,LM,Belgium,Premier League,4,4,Right ,173,74,Normal,Med,High,2016-09-21,N\A,4786320,2747099,7533419,0.37,0.38,0.25,0.25,0.01,0.01,0,0,07-01-1991
Reus,64500,88,Bor. Dortmund,LM,Germany,Bundesliga,4,4,Right ,180,75,Normal,Med,Med,2016-09-21,N\A,5096165,2965628,8061793,0.41,0.41,0.26,0.27,0.01,0.01,0,0,31-05-1989
De Bruyne,88000,88,Manchester City,CAM,Belgium,Premier League,4,4,Right ,181,76,Normal,Med,High,2016-09-21,N\A,5560261,3004586,8564847,0.3,0.29,0.3,0.29,0.02,0.02,0,0,28-06-1991
Griezmann,118000,88,Atlético Madrid,ST,France,LaLiga Santander ,4,3,Left ,176,67,Normal,Med,High,2016-09-21,N\A,7457037,4476178,11933215,0.63,0.62,0.32,0.32,0.01,0.01,0,0,21-03-1991
Pogba,387000,88,Manchester Utd,CM,France,Premier League,5,4,Right ,191,84,Normal,Med,High,2016-09-21,N\A,4249471,2677683,6927154,0.26,0.25,0.21,0.2,0.03,0.03,0,0,15-03-1993
Rijkaard,335000,88,Legends,CDM,Netherlands,Legends,2,4,Right ,190,87,Legend,Med,Med,2016-09-21,N\A,0,218015,218015,0,0.08,0,0.13,0,0.04,0,0,30-09-1962
Šuker,219000,88,Legends,ST,Croatia,Legends,4,4,Left ,183,80,Legend,Med,High,2016-09-21,N\A,0,212773,212773,0,0.56,0,0.27,0,0.01,0,0,01-01-1968
Laudrup,255000,88,Legends,CF,Denmark,Legends,4,3,Right ,186,78,Legend,Low,High,2016-09-21,N\A,0,208888,208888,0,0.61,0,0.32,0,0.01,0,0,22-02-1969
Okocha,300000,87,Legends,CAM,Nigeria,Legends,5,4,Right ,173,70,Legend,Low,Med,2016-09-21,N\A,0,208491,208491,0,0.39,0,0.32,0,0.02,0,0,14-08-1973
Vieri,177000,87,Legends,ST,Italy,Legends,3,3,Left ,185,82,Legend,Low,Med,2016-09-21,N\A,0,190734,190734,0,0.7,0,0.26,0,0.01,0,0,12-07-1973
Inzaghi,140000,87,Legends,ST,Italy,Legends,3,3,Right ,181,74,Legend,Low,Med,2016-09-21,N\A,0,158129,158129,0,0.68,0,0.26,0,0.01,0,0,09-08-1973
Zola,229000,87,Legends,CF,Italy,Legends,3,4,Right ,168,67,Legend,Med,Med,2016-09-21,N\A,0,188103,188103,0,0.43,0,0.36,0,0.01,0,0,05-07-1966
Petit,805000,87,Legends,CDM,France,Legends,3,3,Left ,185,79,Legend,High,High,2016-09-21,N\A,0,296865,296865,0,0.11,0,0.14,0,0.03,0,0,22-09-1970
Gattuso,237000,87,Legends,CDM,Italy,Legends,2,3,Right ,177,77,Legend,High,Med,2016-09-21,N\A,0,219149,219149,0,0.06,0,0.12,0,0.04,0,0,09-01-1978
Crespo,460000,87,Legends,ST,Argentina,Legends,4,5,Right ,185,78,Legend,Low,Med,2016-09-21,N\A,0,298775,298775,0,0.76,0,0.29,0,0.01,0,0,05-07-1975
Robben,42250,87,FC Bayern,RM,Netherlands,Bundesliga,4,2,Left ,180,80,Normal,Low,High,2016-09-21,N\A,2950535,1896237,4846772,0.33,0.33,0.22,0.22,0.01,0.01,0,0,23-01-1984
Vitor Baía,119000,87,Legends,GK,Portugal,Legends,1,3,Right ,184,78,Legend,Med,Med,2016-09-21,N\A,0,149363,149363,0,0,0,0,0,0,0,0,15-10-1969
Larsson,216000,87,Legends,ST,Sweden,Legends,3,4,Right ,178,76,Legend,Low,High,2016-09-21,N\A,0,179399,179399,0,0.73,0,0.28,0,0.01,0,0,20-09-1971
Deco,222000,87,Legends,CAM,Portugal,Legends,4,3,Right ,174,73,Legend,Med,Med,2016-09-21,N\A,0,249698,249698,0,0.3,0,0.34,0,0.02,0,0,27-08-1977
Pauleta,142000,87,Legends,ST,Portugal,Legends,3,4,Right ,180,78,Legend,Low,Med,2016-09-21,N\A,0,162826,162826,0,0.67,0,0.28,0,0.01,0,0,28-04-1973
Hernández,508000,87,Legends,ST,Mexico,Legends,4,3,Right ,175,69,Legend,Med,High,2016-09-21,N\A,0,305763,305763,0,0.73,0,0.31,0,0.01,0,0,22-12-1968
Handanovic,7300,87,Inter,GK,Slovenia,Calcio A,1,2,Right ,193,89,Normal,Med,Med,2016-09-21,N\A,2526239,1579980,4106219,0,0,0,0,0,0,0,0,14-07-1984
Benzema,36750,87,Real Madrid,ST,France,LaLiga Santander ,4,4,Right ,187,79,Normal,Low,Med,2016-09-21,N\A,2614272,1608674,4222946,0.57,0.55,0.28,0.28,0.01,0.01,0,0,19-12-1987
Brehme,365000,87,Legends,LWB,Germany,Legends,3,5,Left ,176,77,Legend,Med,High,2016-09-21,N\A,0,189846,189846,0,0.04,0,0.06,0,0.02,0,0,09-11-1960
David Silva,10250,87,Manchester City,CAM,Spain,Premier League,4,2,Left ,170,67,Normal,Low,High,2016-09-21,N\A,1031466,667736,1699202,0.21,0.19,0.26,0.24,0.02,0.02,0,0,08-01-1986
Rakitic,29500,87,FC Barcelona,CM,Croatia,LaLiga Santander ,3,3,Right ,184,78,Normal,Med,Med,2016-09-21,N\A,1279864,756251,2036115,0.16,0.15,0.17,0.17,0.03,0.03,0,0,10-03-1988
Hummels,11000,87,FC Bayern,CB,Germany,Bundesliga,2,3,Right ,191,92,Normal,Med,High,2016-09-21,N\A,2088225,1507364,3595589,0.02,0.02,0.01,0.01,0.08,0.08,0.01,0.01,16-12-1988
Vidal,84000,87,FC Bayern,CM,Chile,Bundesliga,3,4,Right ,180,75,Normal,High,High,2016-09-21,N\A,4656200,2774763,7430963,0.15,0.14,0.15,0.15,0.03,0.03,0,0,22-05-1987
Di María,19000,87,PSG,RW,Argentina,Ligue 1,5,2,Left ,180,75,Normal,Med,High,2016-09-21,N\A,2961642,1831377,4793019,0.25,0.25,0.23,0.23,0.01,0.01,0,0,14-02-1988
Bonucci,9800,87,Juventus,CB,Italy,Calcio A,2,3,Right ,190,86,Normal,High,Med,2016-09-21,N\A,2415228,1635398,4050626,0.02,0.02,0.01,0.01,0.07,0.07,0.01,0.01,01-05-1987
Sánchez,54500,87,Arsenal,LW,Chile,Premier League,4,3,Right ,169,62,Normal,High,High,2016-09-21,N\A,3155918,1921222,5077140,0.34,0.35,0.23,0.23,0.01,0.01,0,0,19-12-1988
Sergio Busquets,24500,87,FC Barcelona,CDM,Spain,LaLiga Santander ,3,3,Right ,189,76,Normal,Med,Med,2016-09-21,N\A,639068,307379,946447,0.07,0.07,0.12,0.12,0.06,0.06,0.01,0.01,16-07-1988
Müller,9900,87,FC Bayern,CF,Germany,Bundesliga,3,4,Right ,186,75,Normal,High,High,2016-09-21,N\A,1051371,880757,1932128,0.47,0.44,0.27,0.26,0.02,0.02,0,0,13-09-1989
Alaba,69000,87,FC Bayern,LB,Austria,Bundesliga,3,4,Left ,180,76,Normal,Med,High,2016-09-21,N\A,3305821,2174854,5480675,0.03,0.03,0.05,0.05,0.03,0.02,0,0,24-06-1992
Rodríguez,37250,87,Real Madrid,CAM,Colombia,LaLiga Santander ,4,3,Left ,180,75,Normal,Med,Med,2016-09-21,N\A,2670651,1678280,4348931,0.3,0.29,0.29,0.28,0.02,0.02,0,0,12-07-1991
Oblak,8900,87,Atlético Madrid,GK,Slovenia,LaLiga Santander ,1,3,Right ,186,87,Normal,Med,Med,2016-09-21,N\A,2302958,1295475,3598433,0,0,0,0,0,0,0,0,07-01-1993
Paulo Futre,158000,87,Legends,LW,Portugal,Legends,4,5,Left ,175,74,Legend,Low,High,2016-09-21,N\A,0,192747,192747,0,0.46,0,0.25,0,0.01,0,0,28-02-1966
Bierhoff,118000,87,Legends,ST,Germany,Legends,3,4,Right ,191,83,Legend,Med,Med,2016-09-21,N\A,0,82820,82820,0,0.61,0,0.24,0,0.02,0,0,01-05-1968
Fowler,127000,86,Legends,ST,England,Legends,3,3,Left ,180,73,Legend,Med,Med,2016-09-21,N\A,0,140911,140911,0,0.65,0,0.27,0,0.02,0,0,09-04-1975
Neville,126000,86,Legends,RB,England,Legends,2,3,Right ,179,79,Legend,High,Med,2016-09-21,N\A,0,115077,115077,0,0.01,0,0.03,0,0.04,0,0.01,18-02-1975
Campbell,264000,86,Legends,CB,England,Legends,2,3,Right ,188,86,Legend,Med,Low,2016-09-21,N\A,0,232033,232033,0,0.02,0,0.01,0,0.06,0,0.01,18-09-1974
Sheringham,120000,86,Legends,ST,England,Legends,3,3,Right ,185,79,Legend,Low,High,2016-09-21,N\A,0,105978,105978,0,0.63,0,0.25,0,0.02,0,0,02-04-1966
Solskjær,137000,86,Legends,ST,Norway,Legends,3,4,Right ,178,74,Legend,Med,High,2016-09-21,N\A,0,186659,186659,0,0.73,0,0.27,0,0.01,0,0,26-02-1973
Carragher,126000,86,Legends,CB,England,Legends,2,3,Right ,185,83,Legend,High,Med,2016-09-21,N\A,0,102382,102382,0,0.02,0,0.01,0,0.08,0,0.01,28-01-1978
Ljungberg,165000,86,Legends,RM,Sweden,Legends,3,4,Right ,175,73,Legend,Med,Med,2016-09-21,N\A,0,165023,165023,0,0.32,0,0.22,0,0.01,0,0,16-04-1977
Donovan,183000,86,Legends,CF,United States,Legends,3,4,Right ,173,73,Legend,Med,Med,2016-09-21,N\A,0,187816,187816,0,0.52,0,0.32,0,0.01,0,0,04-03-1982
Lalas,359000,86,Legends,CB,United States,Legends,2,3,Right ,191,88,Legend,High,Low,2016-09-21,N\A,0,279287,279287,0,0.03,0,0.01,0,0.05,0,0.01,01-06-1970
Barzagli,7600,86,Juventus,CB,Italy,Calcio A,2,3,Right ,187,87,Normal,High,Low,2016-09-21,N\A,2344599,1607906,3952505,0.01,0.01,0.01,0.01,0.07,0.07,0.01,0.01,08-05-1981
Kompany,11000,86,Manchester City,CB,Belgium,Premier League,2,3,Right ,192,85,Normal,Med,Med,2016-09-21,N\A,1455682,912306,2367988,0.02,0.02,0.01,0.01,0.08,0.09,0.02,0.02,10-04-1986
Santi Cazorla,7200,86,Arsenal,CAM,Spain,Premier League,4,5,Right ,168,66,Normal,Med,Med,2016-09-21,N\A,1469643,935877,2405520,0.24,0.22,0.26,0.25,0.02,0.02,0,0,13-12-1984
Piqué,24500,86,FC Barcelona,CB,Spain,LaLiga Santander ,2,3,Right ,193,85,Normal,Med,High,2016-09-21,N\A,1571761,755850,2327611,0.02,0.02,0.01,0.01,0.09,0.09,0.02,0.02,02-02-1987
Ribéry,8700,86,FC Bayern,LM,France,Bundesliga,5,4,Right ,170,72,Normal,Med,High,2016-09-21,N\A,1080331,694740,1775071,0.2,0.2,0.18,0.18,0.02,0.02,0,0,07-04-1983
Cesc Fàbregas,9000,86,Chelsea,CM,Spain,Premier League,3,3,Right ,175,74,Normal,Med,High,2016-09-21,N\A,1227735,789374,2017109,0.13,0.13,0.16,0.16,0.03,0.04,0,0,04-05-1987
Miranda,6400,86,Inter,CB,Brazil,Calcio A,2,3,Right ,186,78,Normal,Med,Med,2016-09-21,N\A,1901385,1198494,3099879,0.02,0.02,0.01,0.01,0.07,0.07,0.01,0.01,07-09-1984
Matuidi,13000,86,PSG,CDM,France,Ligue 1,2,2,Left ,175,70,Normal,High,High,2016-09-21,N\A,3283357,2430832,5714189,0.09,0.09,0.15,0.14,0.04,0.04,0,0,09-04-1987
Marchisio,27250,86,Juventus,CM,Italy,Calcio A,4,4,Right ,180,71,Normal,High,High,2016-09-21,N\A,4673512,3140233,7813745,0.13,0.12,0.16,0.16,0.03,0.03,0,0,19-01-1986
Marcelo,37750,86,Real Madrid,LB,Brazil,LaLiga Santander ,4,4,Left ,174,75,Normal,Med,High,2016-09-21,N\A,1964300,1235792,3200092,0.02,0.02,0.05,0.05,0.03,0.03,0,0.01,12-05-1988
Payet,8800,86,West Ham,LM,France,Premier League,4,4,Right ,175,77,Normal,Med,High,2016-09-21,N\A,2401314,1328369,3729683,0.2,0.2,0.18,0.18,0.02,0.02,0,0,29-03-1987
De Boer,120000,86,Legends,CB,Netherlands,Legends,2,3,Left ,179,79,Legend,High,Med,2016-09-21,N\A,0,55503,55503,0,0.03,0,0.02,0,0.07,0,0.01,15-05-1970
